time,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,mass,mass_reaction,outflow_gradient,platen_max,platen_min,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_reaction
0.032,0.99998015556576,0.99996593024909,0.99998474663538,0.99998053172674,4.7930173739346e-05,2.1040076537105e-05,0.0099992071770721,-1.341957253385e-05,1.332648486727e-05,-4.5626590129038e-06,-4.5626590133539e-06,0.90001693532463,0.90000033855162,2.5,2.5,-0.00010000000000187
0.033,0.99998003194535,0.99996588060272,0.99998472608367,0.99998053309326,4.7677010483136e-05,2.0976605396061e-05,0.0099991939406947,-1.3236377391993e-05,1.3145208158252e-05,-4.5690061269452e-06,-4.569006127344e-06,0.90001696151157,0.90000045104214,2.5,2.5,-9.9999999998545e-05
0.034,0.99997990699916,0.99996583167492,0.99998470578589,0.99998053531945,4.741730340442e-05,2.0913974553589e-05,0.0099991808795543,-1.3061140525362e-05,1.2971771415024e-05,-4.5752692112758e-06,-4.5752692116304e-06,0.90001698728028,0.90000056549964,2.5,2.5,-0.00010000000000073
0.035,0.99997978089579,0.99996578343235,0.99998468573239,0.99998053833581,4.7151703779465e-05,2.0852148882885e-05,0.0099991679863258,-1.2893228631276e-05,1.2805552236467e-05,-4.581451778451e-06,-4.5814517787298e-06,0.90001701265213,0.90000068170982,2.5,2.5,-0.00010000000000214
0.036,0.99997965379351,0.99996573584439,0.99998466591427,0.99998054207747,4.6880821558119e-05,2.0791095998114e-05,0.0099991552542556,-1.2732070242759e-05,1.2645988931216e-05,-4.5875570668898e-06,-4.5875570670475e-06,0.90001703764665,0.90000079947184,2.5,2.5,-0.00010000000000244
0.037,0.99997952584048,0.99996568888287,0.99998464632323,0.99998054648393,4.6605226600108e-05,2.0730785993727e-05,0.009999142677107,-1.2577148601394e-05,1.2492573265226e-05,-4.5935880671332e-06,-4.5935880672187e-06,0.90001706228174,0.90000091859793,2.5,2.5,-9.9999999997941e-05
0.038,0.9999793971749,0.99996564252183,0.99998462695162,0.99998055149885,4.632545020878e-05,2.067119121281e-05,0.009999130249112,-1.242799501128e-05,1.2344844321825e-05,-4.5995475452832e-06,-4.5995475454045e-06,0.90001708657384,0.90000103891298,2.5,2.5,-0.00010000000000278
0.039,0.99997926792552,0.99996559673741,0.99998460779228,0.99998055706987,4.6041986766315e-05,2.0612286037226e-05,0.0099991179649283,-1.2284183709287e-05,1.2202383170713e-05,-4.6054380629535e-06,-4.605438063172e-06,0.90001711053803,0.90000116025399,2.5,2.5,-0.00010000000000082
0.04,0.99997913821189,0.99996555150741,0.99998458883856,0.99998056314833,4.5755295571151e-05,2.0554046705415e-05,0.0099991058196012,-1.2145327056298e-05,1.2064808312136e-05,-4.6112619959381e-06,-4.6112619962278e-06,0.90001713418827,0.90000128246956,2.5,2.5,-9.9999999996941e-05
0.041,0.99997900814503,0.99996550681141,0.99998457008431,0.99998056968915,4.5465802656058e-05,2.0496451160353e-05,0.00999909380853,-1.2011071359764e-05,1.193177169459e-05,-4.6170215505235e-06,-4.6170215508484e-06,0.90001715753741,0.90000140541922,2.5,2.5,-9.9999999997017e-05
0.042,0.99997887782755,0.99996546263042,0.9999845515237,0.99998057665046,4.5173902718584e-05,2.0439478880131e-05,0.0099990819274361,-1.1881093768868e-05,1.1802955394721e-05,-4.6227187783056e-06,-4.622718778638e-06,0.90001718059731,0.90000152897292,2.5,2.5,-0.0001000000000013
0.043,0.99997874735444,0.99996541894686,0.99998453315137,0.99998058399356,4.4879960918745e-05,2.0383110775439e-05,0.0099990701723374,-1.1755098747803e-05,1.1678068492451e-05,-4.6283555889401e-06,-4.6283555892737e-06,0.90001720337897,0.90000165301035,2.5,2.5,-9.9999999998559e-05
0.044,0.99997861681327,0.99996537574433,0.99998451496226,0.99998059168258,4.45843147739e-05,2.032732904231e-05,0.0099990585395217,-1.1632815677455e-05,1.1556844434243e-05,-4.63393376229e-06,-4.6339337626172e-06,0.90001722589256,0.90000177742039,2.5,2.5,-0.00010000000000097
0.045,0.99997848628479,0.99996533300766,0.99998449695166,0.99998059968436,4.4287275899542e-05,2.0272117072437e-05,0.0099990470255255,-1.1513996350145e-05,1.1439038802298e-05,-4.6394549592843e-06,-4.6394549595939e-06,0.90001724814753,0.90000190210054,2.5,2.5,-9.9999999997797e-05
0.046,0.99997835584336,0.9999652907227,0.99998447911515,0.99998060796827,4.3989131690895e-05,2.021745934745e-05,0.0099990356271126,-1.1398412952982e-05,1.1324427178381e-05,-4.6449207316551e-06,-4.6449207319418e-06,0.90001727015263,0.9000020269563,2.5,2.5,-9.999999999741e-05
0.047,0.99997822555732,0.99996524887616,0.99998446144856,0.999980616506,4.3690147024941e-05,2.0163341355613e-05,0.0099990243412564,-1.1285856195862e-05,1.1212803325693e-05,-4.6503325307687e-06,-4.6503325310243e-06,0.90001729191606,0.90000215190067,2.5,2.5,-9.999999999829e-05
0.048,0.9999780954894,0.9999652074558,0.99998444394801,0.99998062527139,4.339056575468e-05,2.0109749506108e-05,0.009999013165123,-1.1176133389437e-05,1.1103977535062e-05,-4.6556917157905e-06,-4.6556917160188e-06,0.90001731344536,0.90000227685367,2.5,2.5,-0.00010000000000257
0.049,0.99997796569715,0.99996516645005,0.99998442660984,0.99998063424033,4.3090612194434e-05,2.0056671063444e-05,0.0099990020960555,-1.1069067475102e-05,1.0997775228185e-05,-4.6609995604259e-06,-4.6609995606247e-06,0.90001733474763,0.9000024017418,2.5,2.5,-0.00010000000000003
0.05,0.99997783623323,0.99996512584811,0.99998440943059,0.99998064339056,4.2790492517491e-05,2.0004094060928e-05,0.0099989911315603,-1.0964495218505e-05,1.0894035573612e-05,-4.6662572603963e-06,-4.6662572605572e-06,0.90001735582948,0.9000025264976,2.5,2.5,-9.9999999998557e-05
0.051,0.9999777071459,0.99996508563994,0.99998439240701,0.99998065270155,4.2490396078414e-05,1.9952007270897e-05,0.0099989802692941,-1.0862266131451e-05,1.0792610315638e-05,-4.6714659394823e-06,-4.6714659396127e-06,0.90001737669705,0.9000026510592,2.5,2.5,-0.00010000000000123
0.052,0.99997757847913,0.99996504581605,0.99998437553605,0.9999806621544,4.2190496590414e-05,1.9900400117797e-05,0.0099989695070525,-1.0762241518889e-05,1.0693362739174e-05,-4.676626654741e-06,-4.6766266548611e-06,0.9000173973561,0.90000277536998,2.5,2.5,-0.00010000000000126
0.053,0.99997745027312,0.99996500636754,0.9999843588148,0.99998067173166,4.1890953299103e-05,1.9849262647761e-05,0.0099989588427591,-1.0664293379208e-05,1.0596166659908e-05,-4.6817404019089e-06,-4.6817404020378e-06,0.90001741781203,0.90000289937808,2.5,2.5,-0.00010000000000162
0.054,0.99997732256441,0.99996496728604,0.99998434224052,0.99998068141729,4.1591912073075e-05,1.9798585469277e-05,0.0099989482744556,-1.0568303536585e-05,1.050090561929e-05,-4.686808119827e-06,-4.6868081199782e-06,0.90001743806991,0.90000302303615,2.5,2.5,-9.9999999999063e-05
0.055,0.99997719538628,0.99996492856371,0.99998432581059,0.9999806911965,4.129350637238e-05,1.9748359711238e-05,0.0099989378002927,-1.0474162833228e-05,1.0407471977419e-05,-4.6918306953366e-06,-4.6918306955055e-06,0.90001745813447,0.90000314630096,2.5,2.5,-9.9999999998006e-05
0.056,0.99997706876892,0.99996489019313,0.99998430952259,0.99998070105569,4.0995858196512e-05,1.9698576998812e-05,0.0099989274185225,-1.038177031273e-05,1.0315766293931e-05,-4.6968089668123e-06,-4.696808966987e-06,0.90001747801015,0.90000326913307,2.5,2.5,-9.9999999996323e-05
0.057,0.99997694273967,0.99996485216732,0.99998429337415,0.99998071098234,4.0699078935914e-05,1.9649229388926e-05,0.0099989171274898,-1.0291032766006e-05,1.0225696606729e-05,-4.7017437277694e-06,-4.7017437279413e-06,0.90001749770114,0.90000339149661,2.5,2.5,-0.00010000000000036
0.058,0.9999768173233,0.99996481447968,0.99998427736307,0.99998072096496,4.0403270185922e-05,1.9600309363259e-05,0.009998906925626,-1.0201863868053e-05,1.0137177820427e-05,-4.7066357304199e-06,-4.706635730586e-06,0.90001751721139,0.90000351335895,2.5,2.5,-9.9999999999578e-05
0.059,0.99997669254209,0.99996477712398,0.99998426148723,0.99998073099295,4.0108524505711e-05,1.9551809779442e-05,0.0099988968114422,-1.0114183715884e-05,1.0050131213679e-05,-4.7114856886054e-06,-4.7114856887656e-06,0.90001753654459,0.9000036346905,2.5,2.5,-0.00010000000000145
0.06,0.99997656841615,0.99996474009427,0.99998424574458,0.99998074105662,3.9814926062117e-05,1.9503723855806e-05,0.0099988867835237,-1.0027918519311e-05,9.9644838992138e-06,-4.7162942808568e-06,-4.7162942810139e-06,0.90001755570428,0.90000375546443,2.5,2.5,-9.9999999998103e-05
0.061,0.99997644496346,0.99996470338498,0.99998423013323,0.99998075114701,3.952255134623e-05,1.9456045137119e-05,0.0099988768405241,-9.9429996130117e-06,9.8801683259454e-06,-4.7210621528937e-06,-4.7210621530505e-06,0.90001757469374,0.90000387565649,2.5,2.5,-0.00010000000000449
0.062,0.99997632220019,0.9999646669908,0.99998421465133,0.99998076125595,3.9231469701454e-05,1.9408767470294e-05,0.0099988669811604,-9.8593636722975e-06,9.7971219406201e-06,-4.7257899196962e-06,-4.725789919853e-06,0.9000175935161,0.90000399524479,2.5,2.5,-9.9999999998264e-05
0.063,0.99997620014066,0.99996463090663,0.99998419929711,0.99998077137591,3.8941743918903e-05,1.9361884983131e-05,0.0099988572042086,-9.7769518326064e-06,9.7152867168576e-06,-4.7304781683262e-06,-4.7304781684847e-06,0.90001761217435,0.90000411420965,2.5,2.5,-0.00010000000000297
0.064,0.99997607879762,0.99996459512768,0.99998418406887,0.9999807815,3.8653430704582e-05,1.9315392069949e-05,0.0099988475084991,-9.6957094803279e-06,9.6346088146754e-06,-4.7351274595463e-06,-4.7351274597097e-06,0.90001763067127,0.90000423253339,2.5,2.5,-9.9999999999385e-05
0.065,0.99997595818236,0.99996455964937,0.99998416896502,0.99998079162192,3.8366581189674e-05,1.9269283363442e-05,0.009998837892913,-9.615586006585e-06,9.5550383246705e-06,-4.7397383299689e-06,-4.7397383301343e-06,0.90001764900955,0.90000435020019,2.5,2.5,-9.999999999964e-05
0.066,0.99997583830472,0.99996452446735,0.99998415398397,0.99998080173585,3.8081241364061e-05,1.922355372888e-05,0.0099988283563785,-9.5365344025619e-06,9.4765288527855e-06,-4.7443112935985e-06,-4.7443112937651e-06,0.9000176671917,0.90000446719596,2.5,2.5,-0.00010000000000149
0.067,0.99997571917337,0.99996448957736,0.99998413912424,0.99998081183653,3.779745245965e-05,1.9178198232384e-05,0.0099988188978674,-9.4585110084739e-06,9.3990373374986e-06,-4.7488468434029e-06,-4.748846843572e-06,0.90001768522018,0.90000458350815,2.5,2.5,-0.00010000000000298
