case,angle,shear_per_pressure,normal11_per_pressure,normal22_per_pressure
conformal,-35.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-32.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-30.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-27.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-25.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-22.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-20.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-17.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-15.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-12.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-10.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-7.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-5.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,-2.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,0.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,2.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,5.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,7.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,10.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,12.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,15.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,17.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,20.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,22.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,25.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,27.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,30.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,32.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,35.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,37.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,40.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,42.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,45.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,47.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,50.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,52.5,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,55.0,-0.0,-0.6000000000000001,-0.6000000000000001
conformal,57.5,-0.0,-0.6000000000000001,-0.6000000000000001
