axial_over_volume,normalized_coupling,shear_per_pressure
0.028250750892455084,-0.17499999999999993,-0.011341510967980901
0.028250750892455084,-0.15000000000000002,-0.009718051464110295
0.028250750892455084,-0.125,-0.008096090438573652
0.028250750892455084,-0.09999999999999998,-0.006475376970579679
0.028250750892455084,-0.07499999999999996,-0.004855660780748146
0.028250750892455084,-0.04999999999999993,-0.003236692101999235
0.028250750892455084,-0.025000000000000022,-0.0016182215509959
0.028250750892455084,0.0,-9.813077866773593e-18
0.028250750892455084,0.025000000000000022,0.001618221550995905
0.028250750892455084,0.050000000000000044,0.0032366921019992495
0.028250750892455084,0.07500000000000007,0.004855660780748156
0.028250750892455084,0.09999999999999998,0.006475376970579691
0.028250750892455084,0.1250000000000001,0.008096090438573659
0.028250750892455084,0.15000000000000002,0.009718051464110294
0.028250750892455084,0.17499999999999993,0.011341510967980896
0.028250750892455084,0.20000000000000007,0.012966720642191912
0.028250750892455084,0.22499999999999998,0.014593933080603248
0.028250750892455084,0.2500000000000001,0.016223401910544846
0.028250750892455084,0.275,0.017855381925555282
0.028250750892455084,0.30000000000000016,0.01949012921939004
0.028250750892455084,0.32500000000000007,0.021127901321448483
0.028250750892455084,0.35,0.022768957333771635
0.028250750892455084,0.3750000000000001,0.024413558069765355
0.028250750892455084,0.4,0.0260619661948076
0.028250750892455084,0.42500000000000016,0.027714446368901156
0.028250750892455084,0.45000000000000007,0.029371265391537546
0.028250750892455084,0.475,0.031032692348942296
0.028250750892455084,0.5000000000000001,0.032698998763875546
0.028250750892455084,0.525,0.03437045874816794
0.028250750892455084,0.5500000000000002,0.036047349158176145
0.028250750892455084,0.5750000000000001,0.037729949753348715
0.028250750892455084,0.6,0.039418543358098544
0.028250750892455084,0.6250000000000001,0.04111341602718558
0.028250750892455084,0.65,0.04281485721481912
0.028250750892455084,0.6750000000000002,0.04452315994769814
0.028250750892455084,0.7000000000000001,0.04623862100221432
0.028250750892455084,0.725,0.04796154108605267
0.028250750892455084,0.7500000000000001,0.049692225024431824
0.028250750892455084,0.775,0.05143098195123749
0.028250750892455084,0.8000000000000002,0.05317812550531131
0.028250750892455084,0.8250000000000001,0.054933974032168875
0.028250750892455084,0.85,0.0566988507914323
0.028250750892455084,0.8750000000000001,0.05847308417027453
0.028250750892455084,0.9,0.06025700790318537
0.03169786384922227,-0.9,-0.0633550350284497
0.03169786384922227,-0.875,-0.06146625526616616
0.03169786384922227,-0.85,-0.05958887122023732
0.03169786384922227,-0.825,-0.05772248290033261
0.03169786384922227,-0.8,-0.055866697371185846
0.03169786384922227,-0.775,-0.05402112845358717
0.03169786384922227,-0.75,-0.05218539643475024
0.03169786384922227,-0.725,-0.050359127787576195
