gamma,p,shear,shear_linear,pore,pore_linear,ln_h,ln_h_linear,J,Jbar,solid_fraction
0.32999999999999996,0.5,0.008676534022215687,0.009478015766359482,0.17610596853928473,0.18801855749719248,0.00771247468641395,0.008424902903430648,1.0,0.915437812734128,0.8238940314607153
0.345,0.5,0.00868150914401189,0.009478015766359482,0.17563354796868424,0.18744987655121093,0.007716897016899371,0.008424902903430675,1.0,0.9159627244792398,0.8243664520313158
0.36,0.5,0.008686486853623443,0.009478015766359482,0.17516088166797505,0.18688119560522937,0.0077213216476652025,0.008424902903430675,1.0,0.9164879092578054,0.824839118332025
0.375,0.5,0.008691467152120602,0.009478015766359482,0.1746879695355137,0.18631251465924778,0.007725748579662767,0.008424902903430648,1.0,0.9170133671827625,0.8253120304644863
0.39,0.5,0.008696450040574288,0.009478015766359482,0.1742148114696398,0.1857438337132662,0.00773017781384383,0.008424902903430648,1.0,0.9175390983670668,0.8257851885303602
0.4049999999999999,0.5,0.0087014355200552,0.009478015766359482,0.17374140736867705,0.18517515276728463,0.007734609351160104,0.008424902903430675,1.0,0.9180651029236921,0.826258592631323
0.42000000000000004,0.5,0.00870642359163426,0.009478015766359427,0.1732677571309329,0.18460647182130308,0.007739043192563744,0.00842490290343062,1.0,0.9185913809656301,0.8267322428690671
0.43499999999999994,0.5,0.008711414256382388,0.009478015766359482,0.1727938606546987,0.18403779087532152,0.007743479339006543,0.008424902903430675,1.0,0.9191179326058903,0.8272061393453013
0.45000000000000007,0.5,0.008716407515371116,0.009478015766359482,0.17231971783824973,0.18346910992933993,0.007747917791440961,0.008424902903430675,1.0,0.9196447579575002,0.8276802821617503
0.46499999999999997,0.5,0.008721403369671699,0.009478015766359482,0.17184532857984502,0.18290042898335837,0.007752358550819238,0.008424902903430675,1.0,0.9201718571335055,0.828154671420155
0.4800000000000001,0.5,0.008726401820355778,0.009478015766359482,0.17137069277772776,0.18233174803737678,0.007756801618094056,0.008424902903430675,1.0,0.9206992302469691,0.8286293072222722
0.495,0.5,0.00873140286849522,0.009478015766359482,0.1708958103301248,0.18176306709139523,0.007761246994217985,0.00842490290343062,1.0,0.9212268774109724,0.8291041896698752
0.5099999999999999,0.5,0.008736406515162054,0.009478015766359427,0.17042068113524733,0.18119438614541367,0.007765694680144042,0.008424902903430675,1.0,0.9217547987386141,0.8295793188647527
0.525,0.5,0.008741412761428313,0.009478015766359482,0.16994530509129013,0.1806257051994321,0.007770144676825186,0.00842490290343062,1.0,0.922282994343011,0.8300546949087099
0.5399999999999999,0.5,0.00874642160836614,0.009478015766359482,0.16946968209643232,0.18005702425345052,0.0077745969852143215,0.008424902903430675,1.0,0.9228114643372974,0.8305303179035677
0.555,0.5,0.008751433057048286,0.009478015766359482,0.1689938120488369,0.17948834330746893,0.007779051606265075,0.008424902903430675,1.0,0.9233402088346256,0.8310061879511631
0.57,0.5,0.00875644710854706,0.009478015766359482,0.16851769484665102,0.17891966236148737,0.007783508540930684,0.00842490290343062,1.0,0.9238692279481655,0.831482305153349
0.5850000000000001,0.5,0.008761463763935606,0.009478015766359482,0.16804133038800584,0.17835098141550582,0.007787967790164885,0.00842490290343062,1.0,0.9243985217911046,0.8319586696119942
0.6,0.5,0.008766483024286398,0.009478015766359538,0.16756471857101674,0.17778230046952426,0.007792429354921249,0.00842490290343062,1.0,0.924928090476648,0.8324352814289833
