time,x,y,pressure,pressure_reference,normalized_error
0.01,0.6,0.0,4.3078244822409e-05,4.303484581006574e-05,0.0009050502365750634
0.01,0.61,0.0,4.2548637524044e-05,4.2519842541433286e-05,0.0006004953665275891
0.01,0.62,0.0,4.2019030225679e-05,4.1977593678126795e-05,0.0008641246687449457
0.01,0.63,0.0,4.1454087613136e-05,4.14073952862483e-05,0.0009737295669705612
0.01,0.64,0.0,4.0853809686416e-05,4.0808580832839466e-05,0.0009432100506273248
0.01,0.65,0.0,4.0253531759696e-05,4.018052565946982e-05,0.001522481381800065
0.01,0.66,0.0,3.9578515046025e-05,3.952265145123009e-05,0.0011649887164521938
0.01,0.67,0.0,3.8903498332354e-05,3.883443067112732e-05,0.0014403485184980693
0.01,0.68,0.0,3.8189464413199e-05,3.8115390928724346e-05,0.0015447407908152197
0.01,0.69,0.0,3.743641328856e-05,3.736511925094544e-05,0.00148677774275354
0.01,0.7,0.0,3.6683362163922e-05,3.6583266222310254e-05,0.0020874174490283118
0.01,0.71,0.0,3.5849934050742e-05,3.57695499614718e-05,0.0016763431949889892
0.01,0.72,0.0,3.5016505937563e-05,3.492375990084141e-05,0.0019341413074649223
0.01,0.73,0.0,3.4142278668848e-05,3.4045760336296436e-05,0.0020128093934190564
0.01,0.74,0.0,3.3227252244598e-05,3.313549371449481e-05,0.0019135476798601962
0.01,0.75,0.0,3.2312225820349e-05,3.21929836261721e-05,0.002486696591063985
0.01,0.76,0.0,3.1315647938397e-05,3.121833747497397e-05,0.0020293286226344847
0.01,0.77,0.0,3.0319070056445e-05,3.021174879288042e-05,0.002238095517253013
0.01,0.78,0.0,2.928243232144e-05,2.9173499175102732e-05,0.002271709989241809
0.01,0.79,0.0,2.8205734733383e-05,2.8103959809470887e-05,0.002122431225750511
0.01,0.8,0.0,2.7129037145325e-05,2.700359257776816e-05,0.0026160419192582584
0.01,0.81,0.0,2.597511484815e-05,2.5872950709190672e-05,0.002130547981214322
0.01,0.82,0.0,2.4821192550974e-05,2.4712678969096783e-05,0.0022629603220644784
0.01,0.83,0.0,2.3630853561847e-05,2.3523513369436437e-05,0.0022384902625619254
0.01,0.84,0.0,2.2404097880769e-05,2.2306280390689565e-05,0.0020399022410315247
0.01,0.85,0.0,2.1177342199691e-05,2.1061895708761885e-05,0.002407540362917554
0.01,0.86,0.0,1.9883623558764e-05,1.979136242405533e-05,0.0019240290800703868
0.01,0.87,0.0,1.8589904917838e-05,1.84957687938084e-05,0.0019631304198672707
0.01,0.88,0.0,1.7266344438719e-05,1.717628547275518e-05,0.0018781046860371553
0.01,0.89,0.0,1.5912942121408e-05,1.5834162271136044e-05,0.001642888127546424
0.01,0.9,0.0,1.4559539804097e-05,1.447072444307075e-05,0.00185217034140158
0.01,0.91,0.0,1.3155018647178e-05,1.3087368522229461e-05,0.0014107869806976388
0.01,0.92,0.0,1.1750497490259e-05,1.1685557725571815e-05,0.001354264676080652
0.01,0.93,0.0,1.0325255317654e-05,1.0266816949622358e-05,0.001218683466659889
0.01,0.94,0.0,8.8792921293628e-06,8.832727387273955e-06,0.0009710688923111258
0.01,0.95,0.0,7.4333289410719e-06,7.3849207964201206e-06,0.0010095115165923141
0.01,0.96,0.0,5.9564942202226e-06,5.925073454773967e-06,0.0006552538794600293
0.01,0.97,0.0,4.4796594993734e-06,4.4548998380019295e-06,0.0005163421048508807
0.01,0.98,0.0,2.992993711159e-06,2.976146060752733e-06,0.00035134370951402446
0.01,0.99,0.0,1.4964968555795e-06,1.490583122268474e-06,0.0001233259800903551
0.01,1.0,0.0,8.3072263267175e-21,0.0,1.7324028235508788e-16
0.02,0.0,0.0,5.0289812325554e-05,5.0320217677966926e-05,-0.0006340782867778174
0.02,0.01,0.0,5.0283575050886e-05,5.0317703634444106e-05,-0.0007117231696180383
0.02,0.02,0.0,5.0277337776217e-05,5.031015557064946e-05,-0.000684387754726983
0.02,0.03,0.0,5.0264817431084e-05,5.029755569458916e-05,-0.0006827292035138837
0.02,0.04,0.0,5.0246014015486e-05,5.027987437858348e-05,-0.0007061296554285927
