gamma,p,stress_error_over_Ks,pore,solid_fraction,hessian_min
0.09999999999999998,0.025,9.396829024664695e-06,0.10122757667124238,0.8987724233287576,2.4835625086443014
0.125,0.025,2.187945001719105e-06,0.10028582729716673,0.8997141727028333,2.483562627716887
0.1499999999999999,0.025,5.028450632506335e-06,0.09934309662623864,0.9006569033737614,2.48356274691182
0.17499999999999993,0.025,1.2252365617500563e-05,0.09839938364738854,0.9016006163526115,2.4835628662292235
0.19999999999999996,0.025,1.9483807700570038e-05,0.09745468734852858,0.9025453126514714,2.4835629856692205
0.22499999999999998,0.025,2.672278463685017e-05,0.0965090067165526,0.9034909932834474,2.483563105231933
0.25,0.025,3.3969304189181866e-05,0.09556234073733405,0.904437659262666,2.4835632249174844
0.2749999999999999,0.025,4.12233741283724e-05,0.09461468839572551,0.9053853116042745,2.4835633447259973
0.29999999999999993,0.025,4.848500223299084e-05,0.09366604867555761,0.9063339513244424,2.483563464657594
0.32499999999999996,0.025,5.575419628933967e-05,0.09271642055963836,0.9072835794403616,2.4835635847123996
0.35,0.025,6.303096409166205e-05,0.09176580302975212,0.9082341969702479,2.4835637048905355
0.3749999999999999,0.025,7.03153134420303e-05,0.09081419506665778,0.9091858049333422,2.483563825192127
0.3999999999999999,0.025,7.76072521503847e-05,0.089861595650089,0.910138404349911,2.483563945617295
0.42499999999999993,0.025,8.490678803449439e-05,0.08890800375875219,0.9110919962412478,2.4835640661661653
0.44999999999999984,0.025,9.221392891991959e-05,0.08795341837032677,0.9120465816296732,2.483564186838861
0.475,0.025,9.952868264026993e-05,0.08699783846146236,0.9130021615385376,2.4835643076355063
0.4999999999999999,0.025,0.00010685105703696629,0.08604126300778003,0.91395873699222,2.4835644285562246
0.525,0.025,0.0001141810599592431,0.08508369098386892,0.9149163090161311,2.4835645496011405
0.5499999999999999,0.025,0.00012151869926424218,0.08412512136328754,0.9158748786367125,2.4835646707703782
0.5749999999999998,0.025,0.00012886398281718221,0.08316555311856078,0.9168344468814392,2.4835647920640618
0.6,0.025,0.00013621691849094594,0.08220498522118058,0.9177950147788194,2.483564913482316
-0.6,0.05,0.0004878607869597135,0.13186641575118607,0.8681335842488139,2.4836677236162963
-0.575,0.05,0.00047400619431728396,0.1309614522431377,0.8690385477568623,2.483667949542372
-0.5499999999999999,0.05,0.00046013731357893403,0.130055555455725,0.869944444544275,2.4836681756951924
-0.525,0.05,0.00044625413032788454,0.12914872444726067,0.8708512755527393,2.4836684020749753
-0.5,0.05,0.00043235663013330876,0.1282409582751498,0.8717590417248502,2.483668628681935
-0.475,0.05,0.0004184447985507309,0.12733225599588904,0.872667744004111,2.483668855516289
-0.44999999999999996,0.05,0.00040451862112149433,0.12642261666506638,0.8735773833349336,2.483669082578254
-0.425,0.05,0.0003905780833731641,0.12551203933735966,0.8744879606626403,2.4836693098680453
-0.4,0.05,0.0003766231708193774,0.12460052306653602,0.875399476933464,2.483669537385882
-0.375,0.05,0.0003626538689597527,0.12368806690545142,0.8763119330945486,2.48366976513198
-0.35,0.05,0.0003486701632799605,0.12277466990604957,0.8772253300939504,2.4836699931065565
-0.325,0.05,0.00033467203925165796,0.12186033111936079,0.8781396688806392,2.483670221309829
-0.3,0.05,0.00032065948233262257,0.12094504959550201,0.879054950404498,2.4836704497420157
-0.275,0.05,0.0003066324779665125,0.12002882438367535,0.8799711756163247,2.4836706784033344
-0.25,0.05,0.0002925910115830413,0.11911165453216765,0.8808883454678323,2.4836709072940018
-0.22500000000000003,0.05,0.00027853506859785223,0.11819353908834951,0.8818064609116505,2.4836711364142374
-0.2,0.05,0.0002644646344125719,0.11727447709867456,0.8827255229013254,2.4836713657642595
-0.175,0.05,0.0002503796944147992,0.11635446760867874,0.8836455323913213,2.483671595344287
-0.15000000000000002,0.05,0.0002362802339780299,0.11543350966297927,0.8845664903370207,2.4836718251545378
-0.125,0.05,0.00022216623846168623,0.11451160230527413,0.8854883976947259,2.48367205519523
-0.10000000000000003,0.05,0.00020803769321113276,0.11358874457834112,0.8864112554216589,2.483672285466585
