time,B_anisotropy,B_par,B_per,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,ln_h_max,ln_h_min,mass,mass_reaction,outflow_gradient,platen_max,platen_min,right_reaction,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_displacement,top_reaction
0.2825,0,0.60264769154394,0.60264769154394,0.99995988906918,0.99994027097216,0.99998014513846,0.99997313182713,8.1222011226951e-06,1.8368864513494e-21,5.4624169737325e-06,3.2000806692534e-06,0.0099971557847053,-1.7950251320904e-06,1.8054088521175e-06,-4.6337998197706e-06,-5.2146152700222e-06,-2.6490562929277e-06,0.90002957653605,0.90001823119363,2.5,2.5,-4.9006291380501e-06,-0.00010000000000001
0.285,0,0.60264769154394,0.60264769154394,0.99995983377335,0.99994029151919,0.99998015950174,0.99997314139194,7.9465156515699e-06,1.8305946269404e-21,5.4607429844802e-06,3.2013434617505e-06,0.00999715139421,-1.756198134005e-06,1.7663572514311e-06,-4.6384969304237e-06,-5.2152948958759e-06,-2.6440040430152e-06,0.90002956665086,0.90001829389036,2.5,2.5,-4.9039973046567e-06,-0.0001
0.2875,0,0.60264769154394,0.60264769154394,0.99995977967357,0.99994031162178,0.99998017355435,0.99997315074987,7.7746302929873e-06,1.8244388966868e-21,5.4591052040403e-06,3.2025789399632e-06,0.0099971470986825,-1.7182109869478e-06,1.7281503599201e-06,-4.6430924415197e-06,-5.2159598211709e-06,-2.6390610749438e-06,0.90002955697949,0.90001835523095,2.5,2.5,-4.9072926167046e-06,-0.0001
0.29,0,0.60264769154394,0.60264769154394,0.99995972674399,0.99994033128954,0.99998018730299,0.99997315990538,7.6064628516187e-06,1.8184163168035e-21,5.4575028492299e-06,3.2037876946434e-06,0.0099971428960687,-1.6810455229533e-06,1.6907699046105e-06,-4.6475885506395e-06,-5.2166103638911e-06,-2.6342250248775e-06,0.90002954751732,0.90001841524474,2.5,2.5,-4.9105166500779e-06,-0.00010000000000001
0.2925,0,0.60264769154394,0.60264769154394,0.99995967495928,0.99994035053189,0.99998020075425,0.99997316886285,7.4419329097686e-06,1.8125240071947e-21,5.4559351537605e-06,3.2049703038151e-06,0.0099971387843588,-1.6446839674508e-06,1.654198008e-06,-4.65198740784e-06,-5.2172468351423e-06,-2.6294935801507e-06,0.90002953825981,0.90001847396043,2.5,2.5,-4.9136709465723e-06,-0.00010000000000002
0.295,0,0.60264769154394,0.60264769154394,0.99995962429469,0.99994036935801,0.99998021391455,0.99997317762657,7.2809617888563e-06,1.8067591500409e-21,5.4544013679813e-06,3.2061273329822e-06,0.0099971347615864,-1.6091089301645e-06,1.6184171794572e-06,-4.6562911166759e-06,-5.2178695393004e-06,-2.6248644780492e-06,0.90002952920255,0.90001853140609,2.5,2.5,-4.9167570146302e-06,-9.9999999999978e-05
0.2975,0,0.60264769154394,0.60264769154394,0.99995957472598,0.99994038777692,0.99998022679019,0.99997318620073,7.123472511948e-06,1.8011189885219e-21,5.452900758388e-06,3.2072593354374e-06,0.009997130825828,-1.5743033977413e-06,1.5834103069814e-06,-4.6605017352023e-06,-5.2184787741548e-06,-2.6203355048996e-06,0.9000295203412,0.90001858760919,2.5,2.5,-4.919776330065e-06,-0.0001
0.3,0,0.60264769154394,0.60264769154394,0.99995952622946,0.99994040579743,0.99998023938732,0.99997319458943,6.969389766925e-06,1.7956008254074e-21,5.4514326073937e-06,3.208366852436e-06,0.0099971269752011,-1.540250724478e-06,1.5491606486967e-06,-4.6646212769676e-06,-5.2190748310597e-06,-2.6159044948585e-06,0.90002951167152,0.90001864259661,2.5,2.5,-4.9227303367657e-06,-9.9999999999987e-05
0.3025,0,0.60264769154394,0.60264769154394,0.99995947878193,0.99994042342815,0.99998025171198,0.99997320279667,6.8186398705879e-06,1.7902020218235e-21,5.4499962129092e-06,3.2094504136281e-06,0.0099971232078646,-1.5069346249892e-06,1.5156518250892e-06,-4.6686517119671e-06,-5.2196579950571e-06,-2.6115693289112e-06,0.90002950318937,0.90001869639465,2.5,2.5,-4.9256204473881e-06,-0.0001
0.305,0,0.60264769154394,0.60264769154394,0.99995943236069,0.99994044067751,0.99998026377005,0.9999732108264,6.6711507332444e-06,1.7849199959936e-21,5.4485908880338e-06,3.2105105371975e-06,0.0099971195220167,-1.4743391664641e-06,1.4828678109974e-06,-4.6725949675899e-06,-5.2202285450288e-06,-2.6073279339572e-06,0.9000294948907,0.90001874902902,2.5,2.5,-4.9284480440303e-06,-0.00010000000000002
0.3075,0,0.60264769154394,0.60264769154394,0.99995938694356,0.99994045755376,0.9999802755673,0.99997321868243,6.5268518245188e-06,1.7797522219582e-21,5.4472159607249e-06,3.2115477300575e-06,0.0099971159158948,-1.4424487604888e-06,1.4507929280671e-06,-4.6764529295346e-06,-5.220786753822e-06,-2.6031782816605e-06,0.90002948677152,0.90001880052491,2.5,2.5,-4.9312144788945e-06,-9.999999999999e-05
0.31,0,0.60264769154394,0.60264769154394,0.99995934250882,0.99994047406497,0.99998028710937,0.99997322636854,6.3856741394363e-06,1.7746962284269e-21,5.4458707734777e-06,3.2125624881857e-06,0.0099971123877744,-1.4112481562297e-06,1.4194118370822e-06,-4.6802274427159e-06,-5.2213328883859e-06,-2.5991183875964e-06,0.90002947882797,0.90001885090693,2.5,2.5,-4.9339210749333e-06,-9.9999999999991e-05
0.3125,0,0.60264769154394,0.60264769154394,0.99995929903521,0.99994049021904,0.99998029840179,0.9999732338884,6.2475501656166e-06,1.7697495975415e-21,5.4445546830058e-06,3.2135552968435e-06,0.0099971089359683,-1.3807224326344e-06,1.3887095307068e-06,-4.6839203121419e-06,-5.2218672098864e-06,-2.5951463102772e-06,0.90002947105624,0.90001890019918,2.5,2.5,-4.9365691264831e-06,-0.00010000000000002
0.315,0,0.60264769154394,0.60264769154394,0.99995925650195,0.99994050602369,0.99998030944995,0.99997324124559,6.1124138508254e-06,1.7649099637415e-21,5.4432670599586e-06,3.2145266308501e-06,0.0099971055588258,-1.3508569913483e-06,1.3586713262412e-06,-4.6875333037822e-06,-5.222389973845e-06,-2.5912601501796e-06,0.90002946345261,0.90001894842523,2.5,2.5,-4.9391598998814e-06,-9.9999999999996e-05
0.3175,0,0.60264769154394,0.60264769154394,0.99995921488869,0.99994052148649,0.99998032025913,0.99997324844365,5.9802005715495e-06,1.7601750126664e-21,5.4420072885575e-06,3.2154769546357e-06,0.0099971022547319,-1.3216375501764e-06,1.3292828587401e-06,-4.6910681454099e-06,-5.2229014302592e-06,-2.587458048886e-06,0.90002945601345,0.90001899560813,2.5,2.5,-4.9416946340756e-06,-9.9999999999983e-05
0.32,0,0.60264769154394,0.60264769154394,0.99995917417554,0.99994053661482,0.9999803308345,0.99997325548602,5.8508471020067e-06,1.7555424799806e-21,5.4407747663815e-06,3.2164067226939e-06,0.0099970990221066,-1.2930501355217e-06,1.3005300738813e-06,-4.6945265274245e-06,-5.2234018237169e-06,-2.5837381881736e-06,0.9000294487352,0.90001904177047,2.5,2.5,-4.9441745412128e-06,-0.0001
0.3225,0,0.60264769154394,0.60264769154394,0.99995913434302,0.99994055141592,0.99998034118113,0.99997326237605,5.7242915839782e-06,1.7510101503419e-21,5.4417037133642e-06,3.2173163796061e-06,0.0099970958594039,-1.2650810763266e-06,1.2723992214314e-06,-4.6979101036635e-06,-5.2238913935119e-06,-2.5800987891705e-06,0.90002944161439,0.9000190869343,2.5,2.5,-4.9466008072206e-06,-0.0001
0.325,0,0.60264769154394,0.60264769154394,0.99995909537209,0.99994056589686,0.99998035130396,0.99997326911706,5.6004734972029e-06,1.7465758563365e-21,5.4447295455113e-06,3.2182063604153e-06,0.0099970927651114,-1.2377169971555e-06,1.2448768486758e-06,-4.7012204921914e-06,-5.224370373763e-06,-2.5765381114445e-06,0.9000294346476,0.90001913112123,2.5,2.5,-4.9489745923745e-06,-9.9999999999994e-05
0.3275,0,0.60264769154394,0.60264769154394,0.99995905724412,0.99994058006458,0.99998036120783,0.99997327571225,5.4793336304565e-06,1.7422374774017e-21,5.4476899281364e-06,3.2190770907041e-06,0.0099970897377494,-1.2109448119282e-06,1.2179497938313e-06,-4.7044592760781e-06,-5.2248389935257e-06,-2.5730544522206e-06,0.9000294278315,0.90001917435239,2.5,2.5,-4.9512970318524e-06,-0.0001
0.33,0,0.60264769154394,0.60264769154394,0.99995901994086,0.99994059392585,0.99998037089747,0.99997328216479,5.3608140532617e-06,1.7379929388856e-21,5.4505862768613e-06,3.2199289868594e-06,0.0099970867758701,-1.1847517177712e-06,1.1916051798561e-06,-4.7076280041471e-06,-5.2252974769056e-06,-2.5696461455842e-06,0.90002942116284,0.90001921664845,2.5,2.5,-4.953569236278e-06,-0.00010000000000001
0.3325,0,0.60264769154394,0.60264769154394,0.99995898344448,0.99994060748729,0.99998038037753,0.99997328847775,5.2448580881336e-06,1.733840210974e-21,5.4534199767482e-06,3.220762456255e-06,0.0099970838780571,-1.1591251885439e-06,1.1658304082683e-06,-4.710728191722e-06,-5.2257460431501e-06,-2.5663115616233e-06,0.90002941463842,0.90001925802964,2.5,2.5,-4.9557922922515e-06,-0.0001
0.335,0,0.60264769154394,0.60264769154394,0.99995894773753,0.9999406207554,0.99998038965252,0.99997329465417,5.1314102835383e-06,1.7297773078035e-21,5.4561923829167e-06,3.2215778974928e-06,0.0099970810429247,-1.1340529692056e-06,1.1406131530939e-06,-4.7137613213534e-06,-5.2261849067758e-06,-2.563049105692e-06,0.90002940825513,0.90001929851574,2.5,2.5,-4.9579672628693e-06,-9.9999999999996e-05
0.3375,0,0.60264769154394,0.60264769154394,0.99995891280293,0.99994063373651,0.9999803987269,0.99997330069698,5.0204163873351e-06,1.7258022864098e-21,5.458904821168e-06,3.2223757005137e-06,0.009997078269117,-1.1095230698444e-06,1.1159413550344e-06,-4.7167288435218e-06,-5.2266142776501e-06,-2.5598572176518e-06,0.90002940200991,0.90001933812612,2.5,2.5,-4.9600951882329e-06,-9.9999999999999e-05
0.34,0,0.60264769154394,0.60264769154394,0.99995887862398,0.99994064643684,0.999980407605,0.99997330660909,4.9118233208857e-06,1.7219132458952e-21,5.4615585885976e-06,3.2231562468263e-06,0.0099970755553076,-1.0855237597845e-06,1.0918032156075e-06,-4.719632177332e-06,-5.2270343611059e-06,-2.5567343710838e-06,0.90002939589978,0.90001937687972,2.5,2.5,-4.9621770859454e-06,-9.9999999999988e-05
0.3425,0,0.60264769154394,0.60264769154394,0.99995884518433,0.99994065886246,0.99998041629106,0.99997331239332,4.8055791536234e-06,1.7181083264531e-21,5.4641549543099e-06,3.2239199097064e-06,0.0099970729001987,-1.0620435621466e-06,1.0681871915198e-06,-4.7224727111941e-06,-5.2274453580315e-06,-2.5536790726028e-06,0.90002938992181,0.90001941479507,2.5,2.5,-4.9642139515992e-06,-0.00010000000000001
0.345,0,0.60264769154394,0.60264769154394,0.99995881246798,0.99994067101931,0.99998042478923,0.99997331805244,4.7016330782203e-06,1.7143857085492e-21,5.4666951598944e-06,3.22466705433e-06,0.0099970703025206,-1.0390712483694e-06,1.0450819892666e-06,-4.7252518034903e-06,-5.2278474649708e-06,-2.5506898611207e-06,0.90002938407314,0.9000194518903,2.5,2.5,-4.9662067592511e-06,-9.9999999999999e-05
0.3475,0,0.60264769154394,0.60264769154394,0.9999587804593,0.9999406829132,0.99998043310359,0.99997332358914,4.5999353863897e-06,1.7107436119581e-21,5.4691804200804e-06,3.2253980380136e-06,0.009997067761031,-1.0165958327416e-06,1.0224765595567e-06,-4.7279707832186e-06,-5.2282408742208e-06,-2.5477653071647e-06,0.90002937835099,0.90001948818315,2.5,2.5,-4.96815646189e-06,-0.00010000000000002
0.35,0,0.60264769154394,0.60264769154394,0.99995874914298,0.99994069454982,0.99998044123811,0.99997332900609,4.5004374449458e-06,1.7071802949823e-21,5.4716119234178e-06,3.2261132103312e-06,0.0099970652745146,-9.946065671326e-07,1.0003600921057e-06,-4.7306309506284e-06,-5.2286257739124e-06,-2.5449040121661e-06,0.90002937275261,0.90001952369099,2.5,2.5,-4.9700639918894e-06,-9.9999999999978e-05
0.3525,0,0.60264769154394,0.60264769154394,0.99995871850404,0.99994070593474,0.99998044919668,0.99997333430586,4.4030916726977e-06,1.7036940535771e-21,5.4739908326029e-06,3.2268129132439e-06,0.0099970628417823,-9.7309293591638e-07,9.7872201049158e-07,-4.7332335778473e-06,-5.2290023481095e-06,-2.5421046078152e-06,0.90002936727532,0.90001955843078,2.5,2.5,-4.9719302614565e-06,-0.00010000000000001
0.355,0,0.60264769154394,0.60264769154394,0.99995868852783,0.9999407170734,0.9999804569831,0.999973339491,4.307851517686e-06,1.7002832206094e-21,5.4763182853173e-06,3.2274974813861e-06,0.0099970604616706,-9.5204465103276e-07,9.5755196707867e-07,-4.7357799094856e-06,-5.2293707768973e-06,-2.5393657553961e-06,0.9000293619165,0.90001959241913,2.5,2.5,-4.973756163067e-06,-9.9999999999995e-05
0.3575,0,0.60264769154394,0.60264769154394,0.99995865920001,0.99994072797112,0.99998046460109,0.99997334456398,4.2146714347732e-06,1.6969461649499e-21,5.4785953945564e-06,3.228167242131e-06,0.0099970581330415,-9.3145164684399e-07,9.3683983802787e-07,-4.7382711632322e-06,-5.229731236461e-06,-2.5366861451665e-06,0.9000293566736,0.90001962567232,2.5,2.5,-4.9755425698919e-06,-0.0001
0.36,0,0.60264769154394,0.60264769154394,0.99995863050656,0.99994073863313,0.99998047205431,0.99997334952724,4.123506864047e-06,1.6936812907761e-21,5.4808232492548e-06,3.2288225157627e-06,0.0099970558547813,-9.1130407542041e-07,9.1657571848163e-07,-4.7407085304384e-06,-5.2300838991791e-06,-2.5340644956779e-06,0.90002935154411,0.90001965820623,2.5,2.5,-4.9772903362146e-06,-0.00010000000000001
0.3625,0,0.60264769154394,0.60264769154394,0.99995860243376,0.99994074906451,0.99998047934631,0.99997335438313,4.0343142094173e-06,1.6904870367882e-21,5.4830029148307e-06,3.2294636156327e-06,0.0099970536258006,-8.9159230196926e-07,8.9674991785052e-07,-4.7430931766822e-06,-5.2304289336996e-06,-2.5314995532374e-06,0.90002934652557,0.90001969003642,2.5,2.5,-4.9790002978411e-06,-9.9999999999995e-05
0.365,0,0.60264769154394,0.60264769154394,0.99995857496818,0.99994075927026,0.99998048648059,0.999973359134,3.947050817801e-06,1.6873618754525e-21,5.4851354336015e-06,3.2300908483226e-06,0.0099970514450333,-8.7230690005107e-07,8.7735295517715e-07,-4.745426242336e-06,-5.2307665050235e-06,-2.5289900912553e-06,0.90002934161558,0.90001972117812,2.5,2.5,-4.9806732724983e-06,-9.9999999999989e-05
0.3675,0,0.60264769154394,0.60264769154394,0.99995854809669,0.99994076925526,0.99998049346055,0.9999733637821,3.8616749586462e-06,1.6843043122567e-21,5.4872218253819e-06,3.2307045137934e-06,0.0099970493114367,-8.5343864698973e-07,8.5837555451916e-07,-4.7477088431029e-06,-5.2310967745768e-06,-2.5265349096614e-06,0.90002933681179,0.90001975164622,2.5,2.5,-4.9823100602248e-06,-0.00010000000000001
0.37,0,0.60264769154394,0.60264769154394,0.99995852180644,0.99994077902428,0.99998050028953,0.99997336832966,3.7781458041385e-06,1.6813128850367e-21,5.489263087885e-06,3.2313049055053e-06,0.0099970472239904,-8.3497851991755e-07,8.3980864066795e-07,-4.7499420705507e-06,-5.2314199003069e-06,-2.5241328343685e-06,0.90002933211192,0.90001978145528,2.5,2.5,-4.9839114437551e-06,-9.9999999999996e-05
0.3725,0,0.60264769154394,0.60264769154394,0.99995849608485,0.99994078858199,0.99998050697079,0.99997337277885,3.69642340952e-06,1.6783861632751e-21,5.4912601972979e-06,3.2318923105608e-06,0.0099970451816962,-8.1691769079844e-07,8.2164333463598e-07,-4.75212699264e-06,-5.2317360367333e-06,-2.5217827166551e-06,0.9000293275137,0.90001981061957,2.5,2.5,-4.9854781888923e-06,-0.0001
0.375,0,0.60264769154394,0.60264769154394,0.99995847091963,0.99994079793297,0.99998051350754,0.99997337713181,3.6164686940473e-06,1.6755227473572e-21,5.4932141086512e-06,3.2324670098836e-06,0.0099970431835774,-7.9924752268128e-07,8.0387094946849e-07,-4.7542646542292e-06,-5.2320453350335e-06,-2.5194834326895e-06,0.90002932301494,0.90001983915302,2.5,2.5,-4.9870110448746e-06,-0.00010000000000001
0.3775,0,0.60264769154394,0.60264769154394,0.99995844629874,0.99994080708168,0.9999805199029,0.99997338139061,3.5382434223204e-06,1.6727212679635e-21,5.4951257563549e-06,3.2330292782873e-06,0.0099970412286784,-7.8195956554676e-07,7.8648298624744e-07,-4.7563560775754e-06,-5.2323479431256e-06,-2.5172338829031e-06,0.90002931861349,0.90001986706929,2.5,2.5,-4.9885107447347e-06,-9.999999999999e-05
0.38,0,0.60264769154394,0.60264769154394,0.9999584222104,0.9999408160325,0.99998052615992,0.99997338555729,3.4617101859672e-06,1.6699803853756e-21,5.4969960545523e-06,3.2335793846544e-06,0.0099970393160646,-7.650455519539e-07,7.6947112977031e-07,-4.7584022628252e-06,-5.2326440057141e-06,-2.5150329915229e-06,0.90002931430725,0.90001989438173,2.5,2.5,-4.9899780056493e-06,-0.00010000000000001
0.3825,0,0.60264769154394,0.60264769154394,0.99995839864311,0.99994082478971,0.9999805322816,0.99997338963385,3.3868323858033e-06,1.6672987888947e-21,5.4988258976499e-06,3.2341175920712e-06,0.0099970374448211,-7.4849739348488e-07,7.5282724475443e-07,-4.7604041884938e-06,-5.2329336643799e-06,-2.5128797060785e-06,0.90002931009415,0.90001992110339,2.5,2.5,-4.9914135292822e-06,-9.9999999999988e-05
