time,B_anisotropy,B_par,B_per,J_max,J_min,Jbar_max,Jbar_min,center_pressure,edge_ux,ln_h_max,ln_h_min,mass,mass_reaction,outflow_gradient,platen_max,platen_min,right_reaction,solid_fraction_max,solid_fraction_min,stability_max,stability_min,top_displacement,top_reaction
0.4575,-0.037912063065438,0.57737298283364,0.61528504589908,0.99995792429946,0.9999410244813,0.9999807023726,0.99997348259932,1.6671491523003e-06,1.6061833380438e-21,5.566838012747e-06,3.2499978366427e-06,0.0099970398763765,-3.6877755202989e-07,3.7086435819929e-07,-4.8050943524074e-06,-5.2396770699736e-06,-2.4627020653652e-06,0.90002921402913,0.90002050112842,2.5,2.5,-5.0248652897537e-06,-9.9999999999994e-05
0.46,-0.037912063065438,0.57737298283364,0.61528504589908,0.99995791134145,0.99994102878304,0.99998070471175,0.99997348460166,1.6306354900483e-06,1.6048653482665e-21,5.5671611607241e-06,3.250183206593e-06,0.0099970389746249,-3.6070063891933e-07,3.6274174009692e-07,-4.8060987685262e-06,-5.2398163281009e-06,-2.4616678901747e-06,0.90002921195942,0.90002051489671,2.5,2.5,-5.0255547398881e-06,-9.9999999999991e-05
0.4625,-0.037912063065438,0.57737298283364,0.61528504589908,0.99995789866725,0.99994103299057,0.99998070699967,0.99997348656014,1.5949215448045e-06,1.6035762249109e-21,5.567477231142e-06,3.250364516626e-06,0.0099970380926234,-3.5280062502823e-07,3.5479702237081e-07,-4.8070811860676e-06,-5.2399525362128e-06,-2.4606563653188e-06,0.90002920993503,0.90002052836345,2.5,2.5,-5.0262290897843e-06,-0.00010000000000002
0.465,-0.037912063065438,0.57737298283364,0.61528504589908,0.99995788627064,0.99994103710594,0.99998070923749,0.99997348847572,1.5599898012578e-06,1.602315335758e-21,5.5677863790549e-06,3.2505418556149e-06,0.0099970372299393,-3.4507363629013e-07,3.4702630875946e-07,-4.8080420868393e-06,-5.240085761117e-06,-2.4596669947535e-06,0.90002920795499,0.90002054153524,2.5,2.5,-5.0268886701656e-06,-9.9999999999991e-05
0.4675,-0.037912063065438,0.57737298283364,0.61528504589908,0.99995787414554,0.99994104113118,0.99998071142629,0.99997349034936,1.525823127769e-06,1.6010820624176e-21,5.5680887560644e-06,3.2507153105271e-06,0.0099970363861496,-3.3751588280576e-07,3.394257881643e-07,-4.8089819421e-06,-5.2402160681465e-06,-2.4586992932322e-06,0.90002920601831,0.90002055441855,2.5,2.5,-5.0275338045116e-06,-0.00010000000000001
0.47,-0.037912063065438,0.57737298283364,0.61528504589908,0.999957862286,0.99994104506826,0.99998071356715,0.99997349218195,1.4924047678881e-06,1.5998758000517e-21,5.5683845104119e-06,3.2508849664791e-06,0.0099970355608404,-3.3012365824702e-07,3.3199173311221e-07,-4.8099012127849e-06,-5.2403435212132e-06,-2.457752786173e-06,0.90002920412405,0.90002056701969,2.5,2.5,-5.0281648092175e-06,-9.9999999999975e-05
0.4725,-0.037912063065438,0.57737298283364,0.61528504589908,0.9999578506862,0.99994104891911,0.99998071566112,0.99997349397441,1.4597183321516e-06,1.5986959570786e-21,5.5686737872349e-06,3.2510509066543e-06,0.0099970347536071,-3.228933371046e-07,3.24720497662e-07,-4.8108003497355e-06,-5.2404681828187e-06,-2.4568270093759e-06,0.90002920227127,0.90002057934484,2.5,2.5,-5.0287819937489e-06,-0.00010000000000002
0.475,-0.037912063065438,0.57737298283364,0.61528504589908,0.99995783934046,0.99994105268562,0.99998071770923,0.99997349572761,1.4277477900398e-06,1.5975419548491e-21,5.5689567283164e-06,3.2512132124241e-06,0.0099970339640537,-3.1582137341515e-07,3.1760851576749e-07,-4.8116797939175e-06,-5.2405901141032e-06,-2.4559215088111e-06,0.90002920045908,0.90002059140004,2.5,2.5,-5.0293856607925e-06,-9.999999999999e-05
0.4775,-0.037912063065438,0.57737298283364,0.61528504589908,0.99995782824322,0.99994105636964,0.99998071971249,0.99997349744241,1.3964774621593e-06,1.5964132274124e-21,5.5692334724906e-06,3.2513719633849e-06,0.0099970331917929,-3.0890429887674e-07,3.106522994893e-07,-4.8125399766368e-06,-5.2407093748693e-06,-2.455035840388e-06,0.90002919868657,0.90002060319122,2.5,2.5,-5.0299761064071e-06,-0.0001
0.48,-0.037912063065438,0.57737298283364,0.61528504589908,0.99995781738902,0.99994105997297,0.99998072167187,0.99997349911966,1.3658920125541e-06,1.5953092212104e-21,5.5695041554481e-06,3.2515272374174e-06,0.0099970324364461,-3.0213872110213e-07,3.0384843724922e-07,-4.8133813197605e-06,-5.2408260235994e-06,-2.4541695697532e-06,0.90002919695289,0.90002061472414,2.5,2.5,-5.0305536201663e-06,-0.00010000000000001
